seq1	4p12.1	(45.6,69.2)
seq5030	1p3.7	(29.0,67.4)
seq5031	10p9.12	(87.5,58.5)
seq5032	8q12.10	(99.8,18.3)
seq5033	7q6.1	(7.3,33.4)
seq5034	4q1.12	(21.6,13.7)
seq5035	19p11.11	(8.9,0.7)
seq5036	19p12.10	(26.5,39.0)
seq5037	8q10.15	(9.6,22.8)
seq5038	9q1.3	(75.3,89.7)
seq5039	13p4.14	(43.3,37.9)
seq5040	15q5.15	(42.2,45.1)
seq5041	8q13.6	(45.7,51.5)
seq5042	6q14.2	(72.1,95.3)
seq5043	15q5.4	(51.6,10.5)
seq5044	16q4.13	(97.6,79.8)
seq5045	5q3.14	(31.7,59.5)
seq5046	13q6.2	(63.8,67.8)
seq5047	21p13.1	(1.4,75.1)
seq5048	21q6.8	(35.2,55.6)
seq5049	5p13.14	(99.0,25.9)
seq5050	9p15.7	(87.7,39.7)
seq5051	18p10.10	(35.0,37.5)
seq5052	16q7.14	(79.6,51.7)
seq5053	19q4.10	(6.4,91.9)
seq5054	1q2.2	(85.3,13.5)
seq5055	9p13.1	(53.4,57.9)
seq5056	7q11.3	(43.5,56.0)
seq5057	7q15.8	(33.1,54.3)
seq5058	21q8.1	(19.4,9.6)
seq5059	15q3.13	(13.1,68.5)
seq5060	20p13.9	(69.4,7.1)
seq5061	16q4.9	(88.3,89.8)
seq5062	21p4.14	(45.5,21.9)
seq5063	17p9.9	(47.2,89.7)
seq5064	1q2.9	(31.1,21.7)
seq5065	13p14.13	(27.9,54.1)
seq5066	16p15.11	(65.1,10.5)
seq5067	8q4.8	(2.5,78.8)
seq5068	19q3.13	(15.2,20.3)
seq5069	7p12.2	(76.9,5.8)
seq5070	5q2.8	(19.9,95.7)
seq5071	6p2.9	(82.7,25.3)
seq5072	11q14.6	(78.0,94.9)
seq5073	8q2.3	(84.1,44.5)
seq5074	8p3.9	(69.2,84.6)
seq5075	6p7.1	(68.5,12.9)
seq5076	20p2.9	(63.8,14.9)
seq5077	1p9.3	(64.0,84.5)
seq5078	1q2.11	(67.0,60.6)
seq5079	10p12.10	(83.7,14.0)
seq5080	6p10.4	(59.6,87.8)
seq5081	19q5.4	(70.8,13.1)
seq5082	22p10.2	(75.7,29.9)
seq5083	7p8.8	(99.9,74.8)
seq5084	6p7.14	(73.0,87.7)
seq5085	4q8.14	(55.0,21.4)
seq5086	11p5.4	(83.0,74.1)
seq5087	5q4.2	(61.7,57.6)
seq5088	1p4.4	(31.2,68.2)
seq5089	18p6.9	(13.1,94.3)
seq5090	3p13.5	(74.0,69.3)
seq5091	6p4.9	(64.3,34.5)
seq5092	4p8.12	(92.2,37.9)
seq5093	12q5.2	(26.9,87.8)
seq5094	2q9.6	(4.7,14.4)
seq5095	7p5.3	(56.7,39.1)
seq5096	11p2.10	(15.5,24.3)
seq5097	9p11.13	(99.4,16.0)
seq5098	9q4.8	(38.7,46.5)
seq5099	3q7.6	(55.4,49.0)
seq5100	3q7.3	(73.9,83.2)
seq5101	11p4.3	(21.6,47.6)
seq5102	2p9.2	(55.4,9.8)
seq5103	18q12.14	(7.0,25.7)
seq5104	9q11.11	(44.7,59.2)
seq5105	20p4.10	(92.7,20.7)
seq5106	4p2.13	(25.0,21.8)
seq5107	9q4.14	(41.7,27.3)
seq5108	7q5.11	(7.6,61.6)
seq5109	10q12.11	(52.3,55.4)
seq5110	3q10.3	(63.8,82.9)
seq5111	17p1.2	(54.9,12.7)
seq5112	22p10.1	(11.8,93.2)
seq5113	1p14.1	(92.2,78.5)
seq5114	5q12.6	(41.7,15.9)
seq5115	20q8.2	(76.1,68.9)
seq5116	9p8.14	(90.5,59.3)
seq5117	4q10.1	(0.1,88.7)
seq5118	19p5.12	(91.3,88.6)
seq5119	10p2.5	(85.8,99.1)
seq5120	2p6.3	(61.4,21.6)
seq5121	9q12.14	(7.3,81.1)
seq5122	22p11.9	(38.7,0.9)
seq5123	5q4.7	(98.9,89.1)
seq5124	1p2.9	(38.6,62.8)
seq5125	14q2.13	(70.7,22.3)
seq5126	1q9.12	(75.8,28.9)
seq5127	15p15.7	(61.0,71.6)
seq5128	8q14.15	(59.1,31.4)
seq5129	5q9.11	(94.1,29.2)
seq5130	2q15.7	(21.5,10.6)
seq5131	20q9.1	(80.7,49.3)
seq5132	16p11.11	(12.5,85.9)
seq5133	12q10.14	(37.5,89.7)
seq5134	6p15.15	(65.5,73.5)
seq5135	7p3.10	(94.5,39.7)
seq5136	13q15.15	(25.8,78.6)
seq5137	9q3.9	(25.4,72.4)
seq5138	10q2.2	(83.9,85.2)
seq5139	1p4.3	(92.2,4.7)
seq5140	15q14.13	(83.8,72.7)
seq5141	7q3.11	(17.3,93.0)
seq5142	2q3.5	(77.8,92.0)
seq5143	10q3.10	(53.8,33.1)
seq5144	19q6.3	(54.8,27.2)
seq5145	8p13.7	(70.1,84.4)
seq5146	13p5.2	(81.3,91.3)
seq5147	13q6.8	(0.9,59.3)
seq5148	13q3.15	(76.7,16.0)
seq5149	12q8.3	(47.4,95.7)
seq5150	8q11.2	(78.5,26.8)
seq5151	17q4.10	(24.6,72.9)
seq5152	6q3.15	(57.6,26.7)
seq5153	8p11.12	(82.6,83.3)
seq5154	18p4.14	(34.1,88.1)
seq5155	12q14.11	(1.1,10.1)
seq5156	6p7.3	(56.2,38.5)
seq5157	8q10.4	(0.3,66.5)
seq5158	15q3.9	(14.3,15.5)
seq5159	8p12.4	(55.3,74.1)
seq5160	2p3.2	(94.7,3.5)
seq5161	9q8.13	(52.2,94.1)
seq5162	17q4.12	(20.5,38.3)
seq5163	4p3.11	(8.6,33.7)
seq5164	13q3.8	(78.6,74.1)
seq5165	20q9.5	(17.1,48.6)
seq5166	3p9.9	(29.1,41.8)
seq5167	21p14.11	(47.5,96.2)
seq5168	15p6.12	(57.5,12.7)
seq5169	17p10.2	(76.5,5.0)
seq5170	13q4.10	(54.6,66.6)
seq5171	17q12.10	(72.6,71.2)
seq5172	14p8.14	(93.8,87.7)
seq5173	19p14.9	(57.0,95.9)
seq5174	14p4.7	(19.0,37.5)
seq5175	1q12.8	(74.6,30.7)
seq5176	22p8.1	(95.5,68.1)
seq5177	11q5.13	(41.8,73.9)
seq5178	15q7.12	(11.4,36.3)
seq5179	8q9.8	(54.2,5.2)
seq5180	2q11.7	(79.1,37.7)
seq5181	19p3.2	(17.4,10.4)
seq5182	5q4.14	(7.6,1.3)
seq5183	10p10.15	(88.8,51.8)
seq5184	15p3.3	(65.8,21.1)
seq5185	8p13.7	(35.0,1.9)
seq5186	14p9.12	(35.2,29.6)
seq5187	7p15.8	(93.1,38.4)
seq5188	22p15.10	(62.0,11.7)
seq5189	17p1.6	(52.8,61.4)
seq5190	22p3.3	(87.2,82.6)
seq5191	5q3.7	(26.6,76.2)
seq5192	6q1.12	(47.3,63.7)
seq5193	17q9.11	(8.9,90.2)
seq5194	6p9.12	(7.7,50.0)
seq5195	8q11.4	(97.8,52.1)
seq5196	2p8.15	(44.3,87.9)
seq5197	12q3.4	(4.4,9.7)
seq5198	5q10.10	(14.9,32.5)
seq5199	5q1.3	(92.5,60.2)
seq5200	2p13.12	(96.2,88.5)
seq5201	21q12.8	(13.5,0.5)
seq5202	21q14.8	(41.6,47.0)
seq5203	22p15.13	(25.0,24.5)
seq5204	20p15.5	(16.5,79.7)
seq5205	21p9.11	(14.9,77.5)
seq5206	6p10.14	(83.4,86.9)
seq5207	21q7.8	(20.8,2.0)
seq5208	7q12.11	(65.3,75.1)
seq5209	22q6.4	(68.1,69.4)
seq5210	21q13.4	(90.9,30.9)
seq5211	5q6.15	(17.4,27.5)
seq5212	16p1.10	(45.5,14.2)
seq5213	17p6.9	(68.5,9.6)
seq5214	13q1.11	(34.1,45.8)
seq5215	10q14.8	(3.0,61.8)
seq5216	12q9.9	(42.7,16.4)
seq5217	2p15.14	(42.8,56.0)
seq5218	19q15.2	(72.9,21.5)
seq5219	9p10.15	(37.2,66.7)
seq5220	12q12.7	(35.3,49.2)
seq5221	4p15.10	(15.0,65.7)
seq5222	15p7.12	(40.6,65.3)
seq5223	9p7.8	(86.1,38.1)
seq5224	3p15.14	(59.4,29.6)
seq5225	8p4.5	(63.1,56.1)
seq5226	3p7.4	(14.6,68.6)
seq5227	19q6.8	(14.0,89.1)
seq5228	6p12.15	(59.9,36.6)
seq5229	21q12.7	(20.3,52.3)
seq5230	14p6.10	(81.4,53.9)
seq5231	6q9.15	(95.3,7.6)
seq5232	12p11.13	(81.4,25.7)
seq5233	14q7.9	(64.1,27.2)
seq5234	15q9.9	(97.7,22.8)
seq5235	22q4.4	(5.9,28.0)
seq5236	17p14.1	(22.9,32.8)
seq5237	11p14.4	(15.0,24.5)
seq5238	18q14.5	(42.5,97.5)
seq5239	20q6.6	(26.6,2.5)
seq5240	15p11.2	(90.0,7.0)
seq5241	5p2.2	(76.6,19.5)
seq5242	8q3.3	(5.0,46.8)
seq5243	10p4.3	(44.6,96.9)
seq5244	8p11.7	(71.1,24.3)
seq5245	16q5.6	(88.9,94.3)
seq5246	11q5.15	(15.2,38.8)
seq5247	6p5.2	(21.1,57.4)
seq5248	7q11.9	(72.2,22.7)
seq5249	5p12.4	(41.3,4.2)
seq5250	7q13.6	(41.5,90.4)
seq5251	2p4.15	(38.1,54.4)
seq5252	3p12.11	(47.9,6.2)
seq5253	11p15.5	(1.3,45.4)
seq5254	17q13.1	(17.0,57.0)
seq5255	22p6.4	(4.6,73.5)
seq5256	11q15.14	(35.8,39.1)
seq5257	15p9.9	(15.7,70.6)
seq5258	14q8.12	(72.3,84.2)
seq5259	14q5.11	(36.6,49.5)
seq5260	13q1.14	(57.8,63.3)
seq5261	12q11.1	(44.1,35.6)
seq5262	19p12.2	(90.1,66.6)
seq5263	6q3.13	(31.0,97.4)
seq5264	22q9.4	(92.4,43.5)
seq5265	17p13.1	(17.5,78.0)
seq5266	9p3.11	(90.0,25.2)
seq5267	22p14.6	(95.1,4.2)
seq5268	13q7.8	(94.7,39.8)
seq5269	12q12.5	(33.6,49.2)
seq5270	10p15.7	(55.2,79.3)
seq5271	8p3.4	(32.9,45.6)
seq5272	10p10.12	(30.6,73.2)
seq5273	6p1.9	(61.1,22.3)
seq5274	17q2.14	(20.3,90.6)
seq5275	20q13.12	(82.3,3.3)
seq5276	8q7.9	(3.7,84.7)
seq5277	12q13.6	(75.4,28.5)
seq5278	6q14.6	(66.9,27.2)
seq5279	6p4.14	(74.5,72.6)
seq5280	20q1.12	(10.8,56.5)
seq5281	6q9.5	(76.6,48.5)
seq5282	16q2.1	(33.0,10.7)
seq5283	20p6.7	(67.0,23.9)
seq5284	22p4.11	(48.7,53.2)
seq5285	4q13.7	(70.5,41.4)
seq5286	22p10.15	(61.9,84.6)
seq5287	12p7.13	(79.9,60.0)
seq5288	12p10.7	(41.5,27.8)
seq5289	10p10.8	(33.7,97.6)
seq5290	11q5.14	(35.7,55.5)
seq5291	2p5.9	(72.7,42.5)
seq5292	22q2.9	(81.7,37.2)
seq5293	16p2.15	(24.5,56.0)
seq5294	1q6.4	(30.5,9.4)
seq5295	14q13.8	(28.2,10.3)
seq5296	13q15.1	(77.4,20.2)
seq5297	2q10.10	(20.8,71.8)
seq5298	22p7.6	(99.1,55.2)
seq5299	6p5.13	(15.7,52.3)
seq5300	7q9.1	(33.0,70.9)
seq5301	6q9.9	(97.6,95.9)
seq5302	22q10.12	(33.0,45.6)
seq5303	3p15.10	(31.1,64.6)
seq5304	17q7.4	(44.0,44.1)
seq5305	17p4.11	(55.1,53.0)
seq5306	17p14.4	(12.0,6.1)
seq5307	13q3.8	(6.1,70.9)
seq5308	10p13.4	(88.5,18.4)
seq5309	5q14.6	(8.6,9.3)
seq5310	6q9.2	(92.4,27.9)
seq5311	13q9.2	(1.4,98.0)
seq5312	7p14.12	(36.4,8.2)
seq5313	16q10.15	(75.3,47.3)
seq5314	5q7.3	(47.3,50.5)
seq5315	8q5.11	(39.7,5.8)
seq5316	14p12.7	(30.8,98.3)
seq5317	22p2.8	(15.5,66.3)
seq5318	12p1.9	(77.2,34.4)
seq5319	7p13.3	(32.7,71.3)
seq5320	19q9.3	(51.8,97.3)
seq5321	18p11.10	(31.7,49.0)
seq5322	12p4.11	(7.1,54.7)
seq5323	9p6.1	(68.4,40.4)
seq5324	7p6.13	(63.0,84.5)
seq5325	19p14.14	(18.3,64.4)
seq5326	5q2.4	(97.8,95.2)
seq5327	21q1.1	(46.1,78.8)
seq5328	16q2.8	(57.5,82.6)
seq5329	8q1.14	(97.8,92.2)
seq5330	19q12.2	(97.1,23.1)
seq5331	9p4.3	(16.8,83.7)
seq5332	5q11.10	(8.6,83.1)
seq5333	8p15.9	(59.2,33.1)
seq5334	20q12.2	(99.6,69.9)
seq5335	13p6.10	(64.6,97.9)
seq5336	9p12.9	(39.5,12.3)
seq5337	15q7.11	(98.1,78.2)
seq5338	3p9.1	(54.6,43.1)
seq5339	7p1.15	(35.9,53.4)
seq5340	16p10.12	(98.2,21.9)
seq5341	13p7.13	(55.6,44.4)
seq5342	1p2.4	(56.8,59.3)
seq5343	11q1.8	(6.0,1.9)
seq5344	12q13.14	(63.2,14.2)
seq5345	9p2.13	(21.7,10.4)
seq5346	4p8.4	(50.9,26.4)
seq5347	2p11.15	(87.2,29.9)
seq5348	5q4.3	(75.2,98.2)
seq5349	12q12.14	(90.3,88.3)
seq5350	2q8.5	(82.6,34.8)
seq5351	11q11.2	(64.7,36.1)
seq5352	8p13.2	(64.8,91.4)
seq5353	11q10.15	(45.4,25.8)
seq5354	6q8.14	(17.0,34.4)
seq5355	13p4.1	(54.1,25.7)
seq5356	6q8.11	(9.8,23.0)
seq5357	20p13.6	(9.4,68.3)
seq5358	11q4.6	(79.3,5.8)
seq5359	11q9.1	(71.2,91.6)
seq5360	22q7.4	(65.3,1.9)
seq5361	16q6.8	(11.6,75.2)
seq5362	6q7.14	(65.2,62.1)
seq5363	11p7.10	(84.4,65.4)
seq5364	16p14.1	(6.9,98.5)
seq5365	9p4.13	(15.9,64.3)
seq5366	22q13.1	(76.8,58.1)
seq5367	18p7.2	(45.4,46.8)
seq5368	1q10.3	(64.7,70.7)
seq5369	10q15.12	(25.8,86.4)
seq5370	14p10.11	(24.2,87.1)
seq5371	1p4.1	(84.2,94.6)
seq5372	3q2.6	(3.0,40.3)
seq5373	1p14.13	(94.8,89.4)
seq5374	21p14.10	(98.6,84.9)
seq5375	20p9.10	(91.7,97.6)
seq5376	16p12.15	(95.0,7.6)
seq5377	2p13.9	(43.0,47.6)
seq5378	5q15.15	(52.3,17.1)
seq5379	6p2.13	(39.9,53.2)
seq5380	15p2.14	(48.9,61.4)
seq5381	5q10.2	(14.1,25.8)
seq5382	7p1.8	(6.6,72.1)
seq5383	21p10.12	(35.7,70.4)
seq5384	16p8.9	(99.8,69.9)
seq5385	14p4.10	(69.6,89.9)
seq5386	21q9.13	(34.5,79.3)
seq5387	16p15.13	(71.2,1.7)
seq5388	13q4.15	(72.1,64.5)
seq5389	7p1.2	(90.8,14.5)
seq5390	1p13.13	(47.6,5.2)
seq5391	19p1.7	(56.1,67.8)
seq5392	15q9.6	(51.9,95.0)
seq5393	3q13.15	(32.1,28.1)
seq5394	1p8.2	(19.6,53.4)
seq5395	6p12.4	(11.8,84.3)
seq5396	3p11.4	(66.0,44.2)
seq5397	6p14.8	(18.6,40.7)
seq5398	17q4.3	(19.7,68.0)
seq5399	22p12.11	(72.3,12.4)
seq5400	17q7.15	(93.8,61.4)
seq5401	21p7.9	(95.2,18.8)
seq5402	6p5.14	(6.0,7.6)
seq5403	21p14.5	(32.6,36.9)
seq5404	2p14.2	(83.1,4.4)
seq5405	8q15.6	(60.8,62.3)
seq5406	19q8.7	(33.8,12.2)
seq5407	4p11.2	(26.5,14.1)
seq5408	14p9.1	(78.6,15.2)
seq5409	1q12.3	(85.7,61.4)
seq5410	7q14.14	(5.8,81.6)
seq5411	3p7.2	(0.3,83.4)
seq5412	6q15.3	(8.8,68.8)
seq5413	7q1.6	(29.7,2.3)
seq5414	11p4.9	(77.7,48.3)
seq5415	20p3.15	(14.1,33.9)
seq5416	16q7.3	(49.9,35.7)
seq5417	5p15.13	(4.2,76.3)
seq5418	21q15.2	(26.8,91.1)
seq5419	8p7.15	(32.1,50.4)
seq5420	1p12.13	(32.9,31.0)
seq5421	8p11.13	(14.8,25.3)
seq5422	7q8.10	(20.9,15.6)
seq5423	20p1.7	(15.8,14.8)
seq5424	14p11.8	(32.5,72.2)
seq5425	19q8.10	(72.3,76.1)
seq5426	3q15.6	(69.2,33.3)
seq5427	8q1.7	(25.2,34.5)
seq5428	9p12.15	(98.5,57.1)
seq5429	21q4.9	(82.5,49.3)
seq5430	17p4.13	(60.2,85.1)
seq5431	5q7.3	(27.6,87.6)
seq5432	9q9.9	(58.9,19.0)
seq5433	22p4.8	(45.6,3.5)
seq5434	19p2.7	(92.6,74.0)
seq5435	18p11.3	(96.7,69.6)
seq5436	15p1.5	(77.0,57.1)
seq5437	15p14.3	(24.5,40.7)
seq5438	17p15.9	(54.0,60.8)
seq5439	2q15.5	(35.8,49.5)
seq5440	20q13.1	(34.9,26.8)
seq5441	1q8.10	(69.3,39.4)
seq5442	2p6.5	(88.8,37.5)
seq5443	18q1.6	(20.4,59.5)
seq5444	12q15.15	(63.8,77.8)
seq5445	1p10.6	(12.5,38.7)
seq5446	8p10.7	(24.8,59.0)
seq5447	18q13.2	(32.0,94.4)
seq5448	4p12.1	(46.9,12.8)
seq5449	13q12.2	(52.4,14.1)
seq5450	12p9.3	(76.6,36.2)
seq5451	4q7.2	(73.9,79.0)
seq5452	22q13.2	(83.7,68.4)
seq5453	2q14.10	(66.5,65.9)
seq5454	15p3.1	(88.2,25.4)
seq5455	1q9.5	(71.0,78.3)
seq5456	4p10.2	(2.7,8.3)
seq5457	13p13.5	(57.3,44.9)
seq5458	22q10.15	(48.5,92.1)
seq5459	3q10.9	(14.1,21.8)
seq5460	7q4.6	(33.7,24.3)
seq5461	3q15.1	(14.6,23.7)
seq5462	18p12.15	(74.7,12.6)
seq5463	11q9.3	(30.1,46.9)
seq5464	8q11.4	(61.7,26.8)
seq5465	14p12.10	(94.0,16.4)
seq5466	14q10.11	(82.6,8.4)
seq5467	17p15.4	(84.0,99.2)
seq5468	12q3.15	(37.1,95.8)
seq5469	18q9.8	(93.6,66.2)
seq5470	17p2.5	(9.0,22.7)
seq5471	5q3.6	(61.0,41.4)
seq5472	18q11.11	(20.4,55.4)
seq5473	5p7.8	(85.9,59.3)
seq5474	11q4.10	(94.6,12.7)
seq5475	9p4.10	(76.1,3.3)
seq5476	11p9.3	(98.3,31.2)
seq5477	15p4.2	(3.9,85.0)
seq5478	18p11.3	(93.5,61.5)
seq5479	7p15.5	(51.0,28.0)
seq5480	7q6.13	(80.3,22.7)
seq5481	6q7.11	(46.0,90.6)
seq5482	22p14.7	(58.5,82.0)
seq5483	19p3.15	(45.4,65.6)
seq5484	3q7.13	(53.3,11.7)
seq5485	21p10.3	(33.5,42.4)
seq5486	16p5.9	(22.9,80.1)
seq5487	6q15.3	(17.7,52.7)
seq5488	8p15.10	(73.2,92.7)
seq5489	8q3.7	(90.2,37.4)
seq5490	9p3.14	(0.4,1.5)
seq5491	5p11.1	(69.5,55.7)
seq5492	5q10.4	(83.7,67.8)
seq5493	3q11.13	(71.8,15.5)
seq5494	10p15.7	(76.0,60.6)
seq5495	10p13.5	(42.5,10.4)
seq5496	1q11.2	(42.9,81.8)
seq5497	20q6.10	(17.6,86.2)
seq5498	13p2.8	(55.6,43.1)
seq5499	9q6.8	(17.9,25.9)
seq5500	16q6.15	(11.8,45.9)
seq5501	7q2.14	(13.7,36.8)
seq5502	4p12.11	(78.1,39.8)
seq5503	2q9.4	(72.1,92.6)
seq5504	19q13.13	(77.1,8.9)
seq5505	15q15.15	(18.7,52.4)
seq5506	18p13.12	(25.9,56.1)
seq5507	17q2.9	(39.0,95.5)
seq5508	7p4.4	(29.6,1.3)
seq5509	15q11.8	(28.9,99.8)
seq5510	19p5.12	(45.6,26.6)
seq5511	12q14.14	(92.4,74.2)
seq5512	8q14.9	(63.5,31.7)
seq5513	21p10.14	(8.5,59.7)
seq5514	4q2.15	(75.2,4.2)
seq5515	15q7.15	(87.0,29.1)
seq5516	9q11.9	(83.3,38.7)
seq5517	7q10.15	(57.8,80.4)
seq5518	8q10.4	(26.8,4.9)
seq5519	10p13.4	(56.8,16.2)
seq5520	7p9.11	(35.9,77.2)
seq5521	19p3.9	(15.9,72.8)
seq5522	21p15.14	(32.1,27.7)
seq5523	15p14.8	(90.7,31.1)
seq5524	7q5.9	(26.1,60.8)
seq5525	21q11.8	(7.5,54.9)
seq5526	13q2.2	(78.9,74.3)
seq5527	2q11.12	(2.6,35.1)
seq5528	17p1.7	(92.3,13.5)
seq5529	20p9.13	(18.1,44.8)
seq5530	11q6.10	(84.3,91.9)
seq5531	21p10.4	(41.9,95.2)
seq5532	2q12.7	(83.4,47.9)
seq5533	5p9.11	(68.1,19.4)
seq5534	7q14.15	(56.2,50.2)
seq5535	15p14.3	(73.5,14.5)
seq5536	21q2.2	(32.2,53.5)
seq5537	13p6.13	(92.7,54.0)
seq5538	15q5.5	(41.5,32.6)
seq5539	15q15.11	(36.9,95.9)
seq5540	15q15.8	(47.2,48.5)
seq5541	17q6.7	(60.7,37.3)
seq5542	13q3.2	(11.9,60.6)
seq5543	9p12.7	(48.6,77.1)
seq5544	13q5.8	(84.9,37.9)
seq5545	19q9.7	(19.2,96.7)
seq5546	9p12.2	(1.5,22.3)
seq5547	18p15.9	(15.6,73.5)
seq5548	4p4.6	(14.3,69.2)
seq5549	16q13.12	(87.4,86.8)
seq5550	16p11.9	(83.1,46.0)
seq5551	9p2.5	(67.1,80.5)
seq5552	2p7.3	(81.9,83.9)
seq5553	15q9.12	(18.9,6.3)
seq5554	10p11.6	(42.7,2.3)
seq5555	10p15.10	(23.1,10.1)
seq5556	22q8.6	(17.5,3.3)
seq5557	12q14.4	(24.3,12.3)
seq5558	15q13.10	(11.6,93.8)
seq5559	21p13.15	(90.0,40.9)
seq5560	15p1.1	(15.0,92.9)
seq5561	9p8.5	(62.0,32.8)
seq5562	22p3.9	(88.6,95.1)
seq5563	3p15.8	(26.0,47.5)
seq5564	12p8.13	(92.4,63.4)
seq5565	9p9.13	(59.2,48.3)
seq5566	12q11.10	(89.4,78.3)
seq5567	16p2.7	(59.8,89.2)
seq5568	3q9.12	(3.1,29.2)
seq5569	22p13.7	(96.7,66.1)
seq5570	17p5.8	(49.2,50.8)
seq5571	11p3.4	(54.6,25.2)
seq5572	19q5.13	(28.8,18.9)
seq5573	5q7.3	(17.7,91.2)
seq5574	12p11.9	(0.4,25.8)
seq5575	5p14.14	(43.2,66.5)
seq5576	20p8.9	(8.1,51.8)
seq5577	12q1.13	(30.5,82.2)
seq5578	7q9.13	(80.5,70.8)
seq5579	22q3.4	(52.3,7.3)
seq5580	9p6.11	(74.1,22.6)
seq5581	21q13.14	(98.1,84.3)
seq5582	2p13.12	(90.8,56.1)
seq5583	12p11.8	(95.2,80.8)
seq5584	20q1.13	(10.3,9.4)
seq5585	11q6.4	(9.1,76.8)
seq5586	12q11.10	(88.0,6.1)
seq5587	20q3.5	(73.8,13.2)
seq5588	9q4.1	(67.6,35.2)
seq5589	21p12.12	(5.2,58.8)
seq5590	18p10.7	(38.1,47.2)
seq5591	1p2.12	(6.2,81.6)
seq5592	22q15.13	(49.0,3.9)
seq5593	19p3.5	(35.7,5.9)
seq5594	14p14.7	(82.6,61.4)
seq5595	21p2.9	(41.8,56.6)
seq5596	4q12.14	(92.3,57.8)
seq5597	21q8.14	(19.8,88.7)
seq5598	17q6.8	(26.5,82.9)
seq5599	3p9.12	(1.2,74.7)
seq5600	4q2.8	(43.9,17.5)
seq5601	15q5.8	(35.4,83.8)
seq5602	15q1.1	(41.7,93.7)
seq5603	5p15.13	(38.4,20.6)
seq5604	18p8.4	(62.4,94.3)
seq5605	8q9.8	(57.9,53.8)
seq5606	18p15.14	(39.5,39.8)
seq5607	15p14.10	(76.0,74.9)
seq5608	4p13.8	(33.4,40.1)
seq5609	5p10.15	(18.9,97.0)
seq5610	15q15.1	(32.3,66.3)
seq5611	17p12.15	(70.9,3.0)
seq5612	8p10.4	(49.3,56.5)
seq5613	19q3.9	(12.9,45.0)
seq5614	20q4.9	(45.5,47.3)
seq5615	21p6.5	(89.2,18.8)
seq5616	3q15.5	(30.1,48.7)
seq5617	11q7.7	(61.9,17.4)
seq5618	21p13.7	(1.4,14.8)
seq5619	12q5.10	(0.1,54.5)
seq5620	4p5.10	(77.3,25.8)
seq5621	8p1.13	(67.1,14.6)
seq5622	9q12.5	(51.9,60.7)
seq5623	5q6.2	(59.7,96.1)
seq5624	17q2.5	(27.6,32.3)
seq5625	18q13.14	(55.1,26.2)
seq5626	4q6.10	(16.5,21.6)
seq5627	6q3.5	(97.4,80.7)
seq5628	15q5.5	(45.9,37.7)
seq5629	19q12.9	(74.3,39.0)
seq5630	17q14.1	(2.2,57.2)
seq5631	5q4.10	(17.2,35.7)
seq5632	20q8.4	(28.7,77.7)
seq5633	5q1.14	(95.2,31.1)
seq5634	17q4.9	(97.6,93.8)
seq5635	8q10.9	(63.1,8.1)
seq5636	1p1.5	(67.2,96.7)
seq5637	6q9.14	(11.6,35.6)
seq5638	7p5.6	(31.9,16.8)
seq5639	17q3.5	(97.4,90.0)
seq5640	2p2.9	(0.6,6.1)
seq5641	4p15.3	(28.8,17.6)
seq5642	9q7.10	(63.8,23.3)
seq5643	4q8.14	(89.1,96.9)
seq5644	14q8.4	(59.1,34.6)
seq5645	5q14.1	(41.6,10.4)
seq5646	9q9.3	(74.3,12.1)
seq5647	15q13.8	(44.7,3.9)
seq5648	22q9.10	(26.7,80.0)
seq5649	21p6.1	(8.0,47.2)
seq5650	13p15.15	(21.3,27.5)
seq5651	22q14.12	(94.4,46.6)
seq5652	16p3.14	(91.2,30.3)
seq5653	20p5.2	(15.6,38.3)
seq5654	4q11.2	(45.3,58.2)
seq5655	6q1.2	(99.0,68.1)
seq5656	10p5.2	(19.6,51.2)
seq5657	8q15.2	(62.5,30.6)
seq5658	12p5.9	(83.0,39.4)
seq5659	16q6.11	(4.6,54.7)
seq5660	22p7.3	(23.3,55.7)
seq5661	11q2.7	(87.0,40.7)
seq5662	22p11.4	(47.3,93.7)
seq5663	13q8.2	(20.2,55.0)
seq5664	16q11.2	(19.2,91.5)
seq5665	20p1.12	(64.8,83.2)
seq5666	21q7.8	(41.1,94.0)
seq5667	7p10.7	(89.5,74.2)
seq5668	6p5.2	(71.4,30.4)
seq5669	21p15.6	(10.1,7.7)
seq5670	10p12.4	(30.8,52.5)
seq5671	1q11.3	(20.0,62.2)
seq5672	5p3.8	(44.5,39.6)
seq5673	22q1.9	(19.9,90.7)
seq5674	10q1.12	(3.2,32.2)
seq5675	2q7.15	(32.0,61.2)
seq5676	6q3.6	(13.5,21.6)
seq5677	14q13.11	(9.2,66.3)
seq5678	12q9.4	(23.2,7.5)
seq5679	21q7.8	(4.3,11.2)
seq5680	18p4.3	(25.2,59.2)
seq5681	3p6.7	(95.8,36.1)
seq5682	20p11.9	(58.8,70.6)
seq5683	17q1.12	(31.9,32.7)
seq5684	6q4.12	(77.7,90.5)
seq5685	12q15.5	(87.7,92.1)
seq5686	14q1.14	(41.4,97.0)
seq5687	8q14.12	(86.5,65.9)
seq5688	13q8.5	(33.4,95.9)
seq5689	9p6.15	(5.2,69.7)
seq5690	14q1.12	(77.5,52.6)
seq5691	8q1.8	(62.6,93.2)
seq5692	16q4.4	(96.6,23.6)
seq5693	4q1.1	(54.9,83.1)
seq5694	10p13.9	(97.0,80.0)
