seq1	19q2.3	(24.3,55.8)
seq48791	19q13.2	(14.7,85.7)
seq48792	15p15.9	(5.6,30.6)
seq48793	4q13.5	(34.1,51.6)
seq48794	18p3.2	(26.4,86.5)
seq48795	10p5.6	(82.5,35.7)
seq48796	15q9.14	(6.9,57.2)
seq48797	16q8.8	(74.0,95.2)
seq48798	3q8.5	(4.4,64.4)
seq48799	9q12.1	(3.5,25.5)
seq48800	18q4.8	(37.0,29.9)
seq48801	7q14.6	(21.8,46.3)
seq48802	4q7.1	(71.5,72.6)
seq48803	20p15.8	(36.0,14.5)
seq48804	2p11.5	(10.7,91.5)
seq48805	9p8.10	(78.3,51.1)
seq48806	17p10.8	(45.8,78.8)
seq48807	14p1.2	(22.2,98.7)
seq48808	12q15.10	(12.4,2.7)
seq48809	21p1.7	(21.5,25.3)
seq48810	1p8.12	(44.3,89.2)
seq48811	6q1.9	(50.4,95.6)
seq48812	4q9.15	(26.2,85.8)
seq48813	13p4.11	(46.0,83.2)
seq48814	17q6.8	(66.2,7.7)
seq48815	18p1.5	(64.8,71.0)
seq48816	11p12.3	(22.7,38.4)
seq48817	18p6.3	(56.0,76.7)
seq48818	19p11.7	(7.1,65.0)
seq48819	1q13.15	(15.0,94.2)
seq48820	15q15.10	(7.7,67.2)
seq48821	14p11.13	(61.3,94.9)
seq48822	6q6.12	(9.3,45.7)
seq48823	3q14.2	(88.4,29.3)
seq48824	12p1.8	(83.8,12.9)
seq48825	18p2.15	(53.8,97.5)
seq48826	14p10.2	(92.8,88.3)
seq48827	12p11.14	(37.8,35.2)
seq48828	1q12.15	(36.7,34.9)
seq48829	4q13.11	(1.5,98.6)
seq48830	20p14.11	(45.4,12.2)
seq48831	15p13.3	(56.6,96.3)
seq48832	9q15.14	(34.3,32.3)
seq48833	5q7.1	(22.8,12.4)
seq48834	21p1.4	(58.5,25.4)
seq48835	12p7.14	(36.8,9.6)
seq48836	13q7.6	(41.4,70.9)
seq48837	9q5.9	(67.2,84.0)
seq48838	16p14.12	(6.2,80.5)
seq48839	3q5.10	(6.0,20.4)
seq48840	13p15.8	(96.0,22.9)
seq48841	9p9.14	(31.1,37.5)
seq48842	15p15.2	(26.0,37.7)
seq48843	9q15.9	(18.1,51.0)
seq48844	20p9.14	(46.3,43.4)
seq48845	4q10.13	(25.4,50.7)
seq48846	9q11.8	(23.9,70.3)
seq48847	21q8.10	(93.3,58.5)
seq48848	1q7.10	(66.6,8.6)
seq48849	12q1.11	(68.1,16.6)
seq48850	3p6.13	(34.2,36.8)
seq48851	12p2.13	(60.4,33.5)
seq48852	13q9.10	(66.7,31.8)
seq48853	21p14.2	(87.9,21.0)
seq48854	19q1.14	(4.3,6.7)
seq48855	7p4.9	(47.5,42.3)
seq48856	13p8.1	(39.9,22.1)
seq48857	12p14.7	(64.6,93.1)
seq48858	9p4.3	(53.7,82.7)
seq48859	15p8.1	(14.2,5.1)
seq48860	14q9.2	(67.7,83.0)
seq48861	11p3.11	(78.2,39.8)
seq48862	9q5.1	(36.1,18.2)
seq48863	11p2.4	(99.4,57.2)
seq48864	10p6.5	(43.7,54.9)
seq48865	8q6.3	(8.2,74.7)
seq48866	7q1.8	(32.2,90.9)
seq48867	11p1.4	(56.5,30.2)
seq48868	12p11.9	(2.0,14.0)
seq48869	18p14.10	(88.2,26.2)
seq48870	18q2.13	(1.3,70.5)
seq48871	8q4.7	(6.4,19.9)
seq48872	19p6.10	(17.3,81.7)
seq48873	21p3.15	(28.1,75.1)
seq48874	5p10.8	(67.3,96.8)
seq48875	6q15.7	(91.5,13.6)
seq48876	7p1.14	(33.5,13.2)
seq48877	4p3.9	(68.4,84.4)
seq48878	1q4.14	(48.6,70.0)
seq48879	9q11.4	(99.7,56.5)
seq48880	21p8.2	(4.9,73.2)
seq48881	11p11.10	(3.8,27.4)
seq48882	3p9.7	(34.3,14.9)
seq48883	21q6.7	(94.3,89.2)
seq48884	15p15.11	(10.1,20.4)
seq48885	22q4.11	(16.0,99.4)
seq48886	15q5.5	(96.8,25.1)
seq48887	12q9.12	(0.3,33.4)
seq48888	9p10.5	(93.2,63.6)
seq48889	10p1.9	(57.0,30.6)
seq48890	13p11.15	(75.9,96.5)
seq48891	9q15.15	(77.6,46.4)
seq48892	19p6.1	(21.5,42.1)
seq48893	16q11.6	(35.1,32.1)
seq48894	13p3.6	(98.2,22.9)
seq48895	3q7.15	(26.9,66.6)
seq48896	17p9.11	(43.1,54.7)
seq48897	2q12.1	(15.2,83.1)
seq48898	19q12.2	(33.7,37.6)
seq48899	22q6.5	(37.8,55.0)
seq48900	6p10.10	(73.0,52.2)
seq48901	12q9.10	(62.7,42.3)
seq48902	19q14.9	(9.2,63.2)
seq48903	14p11.10	(58.2,63.9)
seq48904	8q10.14	(31.6,19.2)
seq48905	6p4.13	(64.0,17.7)
seq48906	10p3.3	(53.0,41.5)
seq48907	10q12.15	(75.3,77.8)
seq48908	8q5.8	(73.0,26.8)
seq48909	16p12.1	(77.0,14.3)
seq48910	6q8.3	(63.8,91.3)
seq48911	6q12.3	(81.7,23.9)
seq48912	10q11.14	(74.5,90.3)
seq48913	2q7.4	(64.1,29.8)
seq48914	13q14.1	(19.6,20.4)
seq48915	4p1.8	(39.0,84.1)
seq48916	20p4.10	(73.9,76.6)
seq48917	8p10.11	(85.4,29.6)
seq48918	14q15.6	(73.1,18.8)
seq48919	19q1.7	(68.9,29.7)
seq48920	3q8.3	(9.6,39.9)
seq48921	7q7.1	(18.6,36.9)
seq48922	2p15.12	(34.4,67.4)
seq48923	8q12.15	(90.0,86.2)
seq48924	1q4.6	(39.9,94.9)
seq48925	22q13.15	(38.3,37.3)
seq48926	13p2.14	(25.5,73.6)
seq48927	1p12.12	(71.2,56.7)
seq48928	1q5.4	(37.4,5.0)
seq48929	19q10.9	(21.2,10.5)
seq48930	18p5.10	(95.0,22.6)
seq48931	17p8.10	(90.8,82.4)
seq48932	9p1.4	(63.1,59.8)
seq48933	11p4.7	(14.4,24.5)
seq48934	8q15.5	(76.2,9.7)
seq48935	14p6.1	(32.5,42.0)
seq48936	6p6.3	(51.8,15.9)
seq48937	1p12.8	(16.9,18.5)
seq48938	8p12.1	(12.9,25.9)
seq48939	7q1.11	(78.5,47.3)
seq48940	17p1.12	(72.8,19.6)
seq48941	5q8.10	(1.0,79.0)
seq48942	17q3.8	(43.8,88.8)
seq48943	1q7.9	(98.2,53.1)
seq48944	2q1.2	(84.7,32.2)
seq48945	12q10.7	(98.8,25.0)
seq48946	11q8.2	(15.2,98.8)
seq48947	1q2.15	(93.3,51.1)
seq48948	19q14.4	(38.1,35.7)
seq48949	8p6.12	(31.3,96.3)
seq48950	16p3.11	(15.2,56.7)
seq48951	10p14.2	(98.0,56.2)
seq48952	20p9.2	(88.8,55.9)
seq48953	18q9.3	(72.1,57.6)
seq48954	7p12.15	(43.5,61.3)
seq48955	18q2.7	(12.9,93.4)
seq48956	17p1.5	(22.5,92.8)
seq48957	11q11.11	(14.7,5.5)
seq48958	8p11.6	(38.8,8.8)
seq48959	18q8.6	(71.6,41.9)
seq48960	21p11.1	(7.8,66.4)
seq48961	8q3.13	(27.1,55.6)
seq48962	7q11.8	(56.2,96.5)
seq48963	8p15.1	(52.6,92.5)
seq48964	8q7.5	(56.5,23.9)
seq48965	2p8.5	(100.0,29.5)
seq48966	3p9.9	(71.2,22.4)
seq48967	5q7.2	(10.0,24.5)
seq48968	6p5.11	(50.1,8.3)
seq48969	16p3.4	(63.3,80.3)
seq48970	3q8.10	(1.2,55.4)
seq48971	19p10.9	(98.5,61.5)
seq48972	17p5.14	(76.1,18.3)
seq48973	3q7.14	(81.5,90.8)
seq48974	16p15.6	(79.0,6.1)
seq48975	9q12.12	(24.3,47.0)
seq48976	5q6.4	(44.0,99.9)
seq48977	8q14.8	(95.1,63.0)
seq48978	6q12.11	(82.2,71.5)
seq48979	16q7.4	(98.9,94.0)
seq48980	13q8.10	(72.9,13.6)
seq48981	9q12.7	(56.1,94.1)
seq48982	2q13.10	(51.4,43.1)
seq48983	4p4.3	(62.3,75.3)
seq48984	18q4.4	(16.7,64.1)
seq48985	13p5.15	(97.6,88.8)
seq48986	17p4.3	(14.2,78.2)
seq48987	13p2.14	(93.4,6.8)
seq48988	22p11.7	(90.6,59.9)
seq48989	20q1.8	(25.4,80.9)
seq48990	17q9.6	(66.6,47.1)
seq48991	19q11.14	(95.7,3.9)
seq48992	3q3.11	(87.7,78.1)
seq48993	2q8.5	(37.5,71.5)
seq48994	6q10.1	(52.0,57.4)
seq48995	17p12.2	(22.9,63.0)
seq48996	10q14.12	(91.8,94.9)
seq48997	16q13.4	(48.0,58.4)
seq48998	9q11.13	(57.8,19.7)
seq48999	3q1.10	(4.1,98.2)
seq49000	4q3.2	(31.7,39.4)
seq49001	14q11.12	(69.6,75.5)
seq49002	6p3.4	(74.8,86.6)
seq49003	8q9.3	(97.3,47.1)
seq49004	6q13.5	(74.4,38.9)
seq49005	3p9.7	(24.0,45.3)
seq49006	20q2.11	(89.2,17.3)
seq49007	19p11.9	(50.0,54.7)
seq49008	14p11.6	(36.3,97.7)
seq49009	3p10.14	(30.0,63.0)
seq49010	10q1.14	(47.7,44.7)
seq49011	3p15.4	(2.9,14.1)
seq49012	15q8.12	(0.6,16.0)
seq49013	21p9.9	(6.9,45.2)
seq49014	17q6.7	(8.0,97.3)
seq49015	20q6.8	(93.9,83.2)
seq49016	11p12.12	(44.4,67.3)
seq49017	3q2.3	(31.5,45.1)
seq49018	6p3.12	(38.5,68.9)
seq49019	1p10.11	(64.5,2.5)
seq49020	4p3.13	(61.6,72.2)
seq49021	2q10.8	(52.8,42.0)
seq49022	16p7.8	(14.1,5.0)
seq49023	2p8.3	(18.7,48.9)
seq49024	21p14.6	(22.6,8.9)
seq49025	8p11.6	(37.1,34.1)
seq49026	16p8.1	(3.3,6.6)
seq49027	10p2.5	(9.2,5.2)
seq49028	12p15.11	(98.5,93.4)
seq49029	16p11.14	(73.7,32.1)
seq49030	1q3.12	(38.4,8.8)
seq49031	13q11.8	(34.9,99.8)
seq49032	19p7.14	(13.3,80.9)
seq49033	10q6.1	(44.5,82.6)
seq49034	12q14.7	(75.0,96.2)
seq49035	3p5.1	(7.5,88.0)
seq49036	14q4.1	(53.1,24.1)
seq49037	8p10.11	(45.8,93.1)
seq49038	6q12.2	(85.5,10.4)
seq49039	16q3.14	(38.9,37.6)
seq49040	15p7.10	(70.9,18.1)
seq49041	17p11.8	(38.6,4.1)
seq49042	16p7.10	(18.0,56.0)
seq49043	20p2.4	(93.9,66.4)
seq49044	22p6.8	(93.5,95.3)
seq49045	16p13.1	(86.2,99.6)
seq49046	19p9.9	(49.6,72.1)
seq49047	22q8.6	(17.8,30.7)
seq49048	14q3.8	(9.7,46.5)
seq49049	21q1.6	(84.5,50.9)
seq49050	19p15.4	(0.4,20.6)
seq49051	9q14.13	(56.7,61.6)
seq49052	6q13.2	(99.9,41.7)
seq49053	15p13.2	(87.6,9.5)
seq49054	13q5.14	(37.6,85.2)
seq49055	18p9.11	(21.1,42.1)
seq49056	21p4.15	(30.2,93.6)
seq49057	22p15.9	(49.3,61.8)
seq49058	2p13.1	(36.3,32.2)
seq49059	5q10.14	(48.3,14.8)
seq49060	17p8.5	(97.0,47.2)
seq49061	13q6.2	(57.5,50.9)
seq49062	11p13.8	(71.2,20.1)
seq49063	11p10.13	(43.9,48.8)
seq49064	11p13.4	(80.2,19.5)
seq49065	22q11.2	(14.6,78.5)
seq49066	3p3.1	(36.0,26.9)
seq49067	20p9.11	(75.2,50.5)
seq49068	4p9.14	(34.5,13.6)
seq49069	13q15.5	(13.6,29.5)
seq49070	5p6.14	(82.7,43.6)
seq49071	14p11.6	(26.2,88.4)
seq49072	14p7.1	(50.3,57.9)
seq49073	8q1.3	(24.8,34.9)
seq49074	19q1.4	(43.7,79.3)
seq49075	10p15.10	(32.4,94.0)
seq49076	20p14.6	(46.8,30.1)
seq49077	4p10.5	(68.7,70.6)
seq49078	20q1.15	(94.9,55.6)
seq49079	22q15.7	(69.6,14.3)
seq49080	11p3.1	(85.7,85.8)
seq49081	6q10.12	(64.9,32.3)
seq49082	3q8.6	(33.7,36.8)
seq49083	11p7.13	(22.9,15.7)
seq49084	15q15.15	(3.3,92.0)
seq49085	3p15.9	(9.1,92.6)
seq49086	22p8.7	(21.3,7.9)
seq49087	5p5.9	(46.0,43.8)
seq49088	5p3.2	(14.6,81.7)
seq49089	1p3.13	(74.9,77.8)
seq49090	13q3.9	(25.0,10.4)
seq49091	3q8.5	(50.1,83.4)
seq49092	19p6.10	(7.3,85.3)
seq49093	19p7.12	(80.9,38.7)
seq49094	13q7.2	(74.6,58.8)
seq49095	1q6.3	(77.2,86.1)
seq49096	2q5.9	(13.4,82.3)
seq49097	17q7.2	(29.2,46.3)
seq49098	12p7.7	(79.0,70.5)
seq49099	10p15.5	(23.0,43.4)
seq49100	12p8.10	(92.6,67.0)
seq49101	21q15.11	(71.6,18.9)
seq49102	21q2.9	(63.2,30.6)
seq49103	16q8.1	(36.9,5.1)
seq49104	13q11.3	(77.6,16.9)
seq49105	16q10.4	(81.7,59.3)
seq49106	19q3.8	(80.0,36.0)
seq49107	22q10.14	(19.9,44.0)
seq49108	6q9.5	(46.6,73.6)
seq49109	22q11.13	(84.2,64.9)
seq49110	16q5.6	(22.5,72.1)
seq49111	11q12.2	(49.8,22.0)
seq49112	12p3.15	(98.6,27.0)
seq49113	20q5.5	(28.9,23.2)
seq49114	16p3.4	(35.1,33.9)
seq49115	5p4.10	(4.7,60.8)
seq49116	13q12.13	(4.6,68.9)
seq49117	19p3.5	(41.2,72.6)
seq49118	1q14.7	(58.7,68.8)
seq49119	14q1.7	(97.1,11.5)
seq49120	21p4.15	(44.0,17.8)
seq49121	12q15.12	(45.5,3.2)
seq49122	17p6.9	(96.6,91.0)
seq49123	19q9.7	(33.7,36.1)
seq49124	6q11.4	(90.2,93.9)
seq49125	8q11.2	(31.1,87.8)
seq49126	19q10.6	(33.1,51.5)
seq49127	12p14.6	(14.2,12.8)
seq49128	21p14.5	(84.5,10.5)
seq49129	13p15.6	(2.8,40.2)
seq49130	13q7.9	(18.3,92.8)
seq49131	6q15.15	(16.9,16.3)
seq49132	18q15.15	(96.7,14.2)
seq49133	17q5.4	(32.1,60.1)
seq49134	4p7.1	(86.1,67.8)
seq49135	10q10.10	(79.8,26.7)
seq49136	7p6.8	(58.3,28.6)
seq49137	17p15.4	(86.6,33.7)
seq49138	18q6.14	(72.7,31.4)
seq49139	11p12.8	(76.5,2.0)
seq49140	21q6.8	(85.1,42.6)
seq49141	10p8.14	(74.9,73.2)
seq49142	1q9.8	(43.4,0.3)
seq49143	13q14.7	(48.6,49.6)
seq49144	18p15.1	(0.3,11.8)
seq49145	16q15.5	(58.7,26.2)
seq49146	5p8.7	(69.3,56.0)
seq49147	19q12.7	(85.9,94.1)
seq49148	16p5.5	(36.4,23.3)
seq49149	16p14.3	(97.5,21.4)
seq49150	20q14.2	(32.0,33.0)
seq49151	16q10.2	(53.6,97.1)
seq49152	5q3.5	(63.4,22.6)
seq49153	11p11.15	(72.3,81.0)
seq49154	20p7.3	(77.2,16.2)
seq49155	17q7.4	(74.7,61.8)
seq49156	19q11.12	(96.9,16.9)
seq49157	22p6.7	(76.2,60.5)
seq49158	19p10.4	(9.3,25.9)
seq49159	8p15.7	(32.3,9.8)
seq49160	14p10.6	(66.2,51.6)
seq49161	14q4.2	(25.8,37.9)
seq49162	22p2.8	(22.9,5.0)
seq49163	12q4.6	(7.5,6.0)
seq49164	14p10.7	(60.9,47.1)
seq49165	10q2.15	(57.2,42.5)
seq49166	3p4.1	(38.0,91.8)
seq49167	3p9.2	(26.7,5.9)
seq49168	21p15.14	(78.4,1.5)
seq49169	7p14.11	(25.8,30.3)
seq49170	17q6.2	(1.0,87.4)
seq49171	18q15.10	(62.3,34.7)
seq49172	21p7.13	(78.0,17.2)
seq49173	21q4.12	(43.0,36.6)
seq49174	6q8.4	(21.8,40.7)
seq49175	22q14.9	(61.9,17.9)
seq49176	21q3.1	(6.2,32.9)
seq49177	8p5.9	(21.8,16.6)
seq49178	21q2.3	(49.8,23.6)
seq49179	5p6.11	(16.7,22.0)
seq49180	7q11.12	(51.6,41.4)
seq49181	13p6.12	(54.4,65.1)
seq49182	19q8.4	(87.4,20.4)
seq49183	11p8.12	(32.0,64.8)
seq49184	7p4.14	(85.0,36.0)
seq49185	7q14.1	(27.8,43.8)
seq49186	7q10.10	(84.4,14.6)
seq49187	9p3.13	(83.6,88.4)
seq49188	8q12.1	(46.8,0.5)
seq49189	3q14.13	(90.7,99.3)
seq49190	21p6.10	(2.6,32.8)
seq49191	14p11.7	(91.7,78.8)
seq49192	4q3.14	(53.7,69.0)
seq49193	11p12.11	(98.0,36.6)
seq49194	6q11.14	(29.7,85.6)
seq49195	3p10.12	(48.5,77.6)
seq49196	16p12.6	(74.4,53.5)
seq49197	20p3.7	(36.4,81.7)
seq49198	16p3.5	(94.7,56.9)
seq49199	4q13.12	(15.8,53.2)
seq49200	5q8.9	(40.0,81.2)
seq49201	7p6.12	(28.7,31.3)
seq49202	1p13.10	(34.2,16.7)
seq49203	22q3.15	(69.5,27.5)
seq49204	12p13.11	(63.9,49.8)
seq49205	3p9.8	(14.3,22.7)
seq49206	11p9.2	(25.5,4.0)
seq49207	1p4.10	(17.6,31.2)
seq49208	9q13.15	(74.9,89.7)
seq49209	9q14.11	(10.8,96.6)
seq49210	4q10.1	(31.5,99.1)
seq49211	20q14.12	(29.4,2.6)
seq49212	15p4.4	(27.1,99.7)
seq49213	3q3.5	(88.9,27.4)
seq49214	7q15.8	(68.2,87.9)
seq49215	16q9.11	(63.2,28.5)
seq49216	2q10.8	(71.9,94.1)
seq49217	5p12.14	(80.8,52.1)
seq49218	19q7.7	(38.3,39.2)
seq49219	13p2.2	(17.0,4.5)
seq49220	20p14.6	(66.0,43.3)
seq49221	7p7.8	(19.1,62.8)
seq49222	8p4.8	(20.4,37.6)
seq49223	9p11.9	(31.8,24.6)
seq49224	21q8.2	(24.5,13.1)
seq49225	11p6.6	(70.0,63.2)
seq49226	22q4.11	(91.4,33.5)
seq49227	1p9.12	(31.1,73.6)
seq49228	12p15.12	(46.6,19.9)
seq49229	19q12.15	(19.0,80.5)
seq49230	18p4.13	(31.7,24.9)
seq49231	13p7.7	(24.8,94.6)
seq49232	22p2.12	(96.6,51.3)
seq49233	4p12.5	(23.8,5.9)
seq49234	21q4.10	(14.6,38.2)
seq49235	19p2.3	(65.2,21.9)
seq49236	4q13.10	(57.4,22.0)
seq49237	14q5.1	(34.7,66.6)
seq49238	3p15.1	(53.9,86.2)
seq49239	9q9.10	(51.9,86.0)
seq49240	18p5.7	(88.4,94.1)
seq49241	8p15.13	(32.8,70.6)
seq49242	1p13.14	(27.2,83.0)
seq49243	12p6.14	(81.2,1.7)
seq49244	4q11.1	(23.8,63.6)
seq49245	13p9.4	(62.8,18.0)
seq49246	11q12.15	(71.7,78.8)
seq49247	17p8.13	(19.7,37.8)
seq49248	8q14.11	(64.4,41.0)
seq49249	17q13.2	(76.2,28.0)
seq49250	10p9.11	(65.0,61.2)
seq49251	12p15.1	(93.3,57.8)
seq49252	4p6.11	(40.0,58.1)
seq49253	5p2.9	(39.1,7.9)
seq49254	20p10.15	(56.1,45.8)
seq49255	1p6.3	(95.6,24.6)
seq49256	19p9.7	(68.7,41.6)
seq49257	22q15.9	(64.2,8.8)
seq49258	2p9.9	(86.5,20.6)
seq49259	11p11.15	(62.0,4.8)
seq49260	21p15.13	(45.5,52.9)
seq49261	5q6.5	(77.8,13.9)
seq49262	3p10.3	(97.0,76.1)
seq49263	13q3.2	(30.2,44.6)
seq49264	21p2.15	(5.7,58.3)
seq49265	22p13.7	(91.1,84.2)
seq49266	8p8.3	(71.7,43.9)
seq49267	5q8.4	(46.2,58.6)
seq49268	16p11.3	(41.7,53.8)
seq49269	14p10.10	(65.8,47.2)
seq49270	14p12.5	(84.2,92.6)
seq49271	14q5.3	(53.9,45.5)
seq49272	2p4.9	(23.1,19.9)
seq49273	6q13.14	(48.3,63.2)
seq49274	10p11.3	(77.8,82.9)
seq49275	20p4.3	(80.2,83.4)
seq49276	15q3.3	(14.5,24.9)
seq49277	20q7.6	(76.7,75.9)
seq49278	2p5.6	(95.2,6.8)
seq49279	8p4.9	(7.7,60.1)
seq49280	17p4.9	(53.5,82.6)
seq49281	15q15.1	(32.6,36.8)
seq49282	4q6.1	(41.1,76.5)
seq49283	21q1.1	(29.6,54.8)
seq49284	8q4.2	(42.9,37.1)
seq49285	19q15.8	(9.7,94.2)
seq49286	21p2.15	(57.9,5.7)
seq49287	6q7.8	(52.4,97.3)
seq49288	12p15.12	(81.7,38.9)
seq49289	6q9.10	(57.7,29.4)
seq49290	18p2.6	(24.1,4.7)
seq49291	16p13.4	(59.8,42.4)
seq49292	5q11.15	(51.5,26.0)
seq49293	17p7.4	(44.4,41.3)
seq49294	14p1.7	(54.6,80.5)
seq49295	1q15.15	(26.1,73.4)
seq49296	14p7.8	(52.5,48.3)
seq49297	15p2.2	(11.0,1.0)
seq49298	11q5.6	(82.5,59.1)
seq49299	7q15.9	(81.3,35.7)
seq49300	5p2.10	(97.6,92.0)
seq49301	10p12.10	(37.7,77.6)
seq49302	19q12.11	(71.3,92.2)
seq49303	3q11.7	(89.5,7.3)
seq49304	22p6.3	(73.4,21.7)
seq49305	6p15.5	(6.1,21.5)
seq49306	12q4.6	(40.7,11.1)
seq49307	22p15.7	(42.6,43.8)
seq49308	3p7.11	(96.1,77.2)
seq49309	20p1.1	(18.7,43.4)
seq49310	5q14.9	(64.5,95.2)
seq49311	11p11.6	(5.1,2.7)
seq49312	7q11.9	(33.8,34.9)
seq49313	11q10.5	(8.4,70.2)
seq49314	10q15.2	(13.3,91.8)
seq49315	14q1.5	(53.8,90.2)
seq49316	4q2.6	(59.5,79.1)
seq49317	22p1.13	(83.3,37.6)
seq49318	4p1.2	(20.9,57.3)
seq49319	7p1.6	(50.9,34.3)
seq49320	20q5.1	(86.7,37.7)
seq49321	4p6.15	(84.2,65.0)
seq49322	10p15.13	(73.5,46.6)
seq49323	10p8.6	(11.6,55.3)
seq49324	14p10.8	(6.5,71.7)
seq49325	22p15.5	(52.8,25.9)
seq49326	10p9.6	(54.4,71.1)
seq49327	12q1.14	(84.4,29.0)
seq49328	2q9.3	(7.1,43.2)
seq49329	13q5.12	(64.6,9.9)
seq49330	17q2.11	(35.3,10.5)
seq49331	11q10.13	(19.0,57.1)
seq49332	20q9.13	(90.1,73.9)
seq49333	18p6.5	(65.1,63.8)
seq49334	15q7.4	(54.5,72.4)
seq49335	13p11.7	(5.1,80.1)
seq49336	8p5.1	(87.9,41.9)
seq49337	20p15.11	(4.2,38.3)
seq49338	21p13.5	(40.5,58.9)
seq49339	10q2.12	(38.0,28.4)
seq49340	18p11.10	(70.7,71.3)
seq49341	18p10.11	(6.1,55.9)
seq49342	12q14.8	(8.2,47.3)
seq49343	20q8.2	(33.7,92.2)
seq49344	3p10.1	(82.0,11.6)
seq49345	20p14.11	(28.0,4.8)
seq49346	4p4.7	(56.4,3.5)
seq49347	10p10.10	(40.9,46.5)
seq49348	17q11.3	(84.9,42.3)
seq49349	18q15.5	(59.2,95.0)
seq49350	22p14.4	(75.5,80.3)
seq49351	21p5.3	(99.4,24.9)
seq49352	10q6.13	(86.7,2.9)
seq49353	3q15.10	(78.9,91.0)
seq49354	12p8.3	(10.8,45.6)
seq49355	18q13.14	(3.4,20.3)
seq49356	2q3.4	(12.5,47.6)
seq49357	10q7.5	(87.0,72.5)
seq49358	17p12.11	(4.3,22.7)
seq49359	9p8.2	(56.3,87.3)
seq49360	7q9.4	(98.4,29.8)
seq49361	1p5.7	(22.2,27.3)
seq49362	20q15.13	(17.1,86.3)
seq49363	11q8.7	(6.2,95.7)
seq49364	21q11.4	(88.7,74.2)
seq49365	3q9.13	(93.4,55.6)
seq49366	2p10.6	(1.0,77.7)
seq49367	11p6.1	(24.3,15.6)
seq49368	11q13.7	(84.5,75.8)
seq49369	4p10.13	(91.0,89.9)
seq49370	1q8.11	(39.9,87.5)
seq49371	5q7.3	(21.5,41.5)
seq49372	15p15.13	(82.5,27.4)
seq49373	22p8.7	(96.2,95.5)
seq49374	8q3.2	(55.3,22.8)
seq49375	19p15.13	(46.6,63.7)
seq49376	12p2.12	(9.8,75.4)
seq49377	8p5.9	(84.1,67.7)
seq49378	19p2.4	(36.6,68.1)
seq49379	22q8.5	(63.9,34.3)
seq49380	20p1.12	(24.5,54.6)
seq49381	12q3.14	(16.0,16.1)
seq49382	3p8.10	(99.3,12.5)
seq49383	1q13.1	(18.7,59.5)
seq49384	7q11.5	(3.6,54.1)
seq49385	20q10.3	(60.3,30.6)
seq49386	10q2.6	(22.6,57.8)
seq49387	1q14.15	(8.5,79.7)
seq49388	8p13.15	(25.6,43.3)
seq49389	2q4.7	(13.7,53.1)
seq49390	5p3.12	(84.7,38.8)
seq49391	17p3.6	(79.5,39.6)
seq49392	5p4.10	(79.6,23.5)
seq49393	7q9.4	(94.8,50.2)
seq49394	7p15.6	(54.8,21.1)
seq49395	3p6.1	(4.7,95.2)
seq49396	9p8.14	(83.0,66.2)
seq49397	17p10.5	(76.3,34.9)
seq49398	9p1.1	(81.5,81.5)
seq49399	5q9.2	(69.1,35.8)
seq49400	15q5.15	(19.8,85.7)
seq49401	11p6.14	(59.4,79.0)
seq49402	9p10.11	(4.0,89.8)
seq49403	3p3.1	(98.8,95.3)
seq49404	9p12.9	(52.2,35.8)
seq49405	18q12.8	(89.8,45.5)
seq49406	9q3.6	(68.6,91.8)
seq49407	15q10.5	(42.3,31.6)
seq49408	20q5.9	(48.2,90.2)
seq49409	3p7.8	(93.6,68.6)
seq49410	5p4.15	(25.7,0.9)
seq49411	15q2.8	(46.1,12.0)
seq49412	15p15.14	(87.1,64.3)
seq49413	12q14.13	(81.1,5.1)
seq49414	9q3.7	(79.2,85.7)
seq49415	1q10.1	(74.9,22.2)
seq49416	5q12.1	(13.0,27.1)
seq49417	16p1.9	(70.2,14.4)
seq49418	19q5.15	(37.1,36.3)
seq49419	21q15.6	(12.1,23.3)
seq49420	12p1.9	(63.7,19.3)
seq49421	4q11.9	(44.4,67.2)
seq49422	11q5.6	(51.2,92.7)
seq49423	17p2.2	(98.8,45.5)
seq49424	14q2.5	(75.4,51.9)
seq49425	10p3.1	(61.8,36.1)
seq49426	1p14.4	(95.3,78.9)
seq49427	5p13.11	(46.6,25.6)
seq49428	16p14.7	(3.9,36.3)
seq49429	2p8.8	(27.3,69.5)
seq49430	12q9.12	(56.9,33.2)
seq49431	1p10.4	(44.4,78.0)
seq49432	7p15.8	(94.6,95.7)
seq49433	18q2.12	(20.1,33.9)
seq49434	19q6.15	(93.7,72.8)
seq49435	19q3.2	(97.6,11.0)
seq49436	22p8.8	(33.2,25.5)
seq49437	5q5.15	(43.4,57.0)
seq49438	17q15.5	(32.6,82.4)
seq49439	1q7.4	(13.2,86.4)
seq49440	7p4.1	(24.6,62.7)
seq49441	5p1.5	(2.7,78.7)
seq49442	1q5.13	(45.5,39.5)
seq49443	20q4.5	(77.5,99.2)
seq49444	20p10.4	(28.2,82.8)
seq49445	18q13.10	(62.8,18.5)
seq49446	15p14.12	(94.7,94.8)
seq49447	10p7.6	(65.5,40.2)
seq49448	16q1.7	(47.6,2.5)
seq49449	16q2.7	(80.7,86.3)
seq49450	15p5.1	(91.8,34.5)
seq49451	1p12.8	(25.4,23.5)
seq49452	6p11.3	(44.5,42.1)
seq49453	16q8.5	(78.6,62.0)
seq49454	6p9.8	(28.8,37.3)
seq49455	11p2.4	(70.4,59.8)
